MLIP_name,Normal rate (%),Adsorbate migration rate (%),Anomaly rate (%),Anomaly rate - reproduction failure (%),Anomaly rate - unphysical relaxation (%),Anomaly rate - energy anomaly (%),MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Time_total (ms),Time_per_step (ms),Steps_total,Time_per_step (s)
sevennet-mpa-cueq,84.01949922446266,6.780412142698871,9.200088632838467,0.081985375581653,6.419233325947263,2.69886993130955,0.6730834739486903,0.1902186129390956,0.7279863157029376,86.10060126786618,90.68909049348159,45130.0,66638470.11089325,46.21128146388083,1442039.0,0.04621128146388083
sevennet-oc20,88.64834921338355,4.921338355860846,6.430312430755595,0.0731220917349878,6.275204963438955,0.081985375581653,0.2620494575319118,0.1950656804482193,0.2150630040313574,88.31435455933682,92.10884995610436,45130.0,77094582.85403252,64.48520947792797,1195539.0,0.06448520947792796
sevennet-oc20-cueq,88.62840682472857,4.91912253489918,6.452470640372258,0.0864170175049856,6.284068247285619,0.081985375581653,0.2627916845240813,0.1951071410062214,0.215063311466119,88.19268148192577,92.02975744968901,45130.0,52555935.43434143,44.39573328259988,1183806.0,0.04439573328259988
sevennet-oc22,83.95524041657434,7.321072457345447,8.723687126080213,0.06204298692665633,5.920673609572347,2.74097052958121,0.5507463408229181,0.2336335196370373,0.5405280522419447,82.90576821302055,89.37704832646688,45130.0,94970401.39913559,67.36784261310903,1409729.0,0.06736784261310903
sevennet-oc22-cueq,84.01285176157766,7.325504099268779,8.661644139153557,0.07755373365832041,5.840904054952359,2.743186350542876,0.5489458177332727,0.2335718244130084,0.5405280738702554,82.95842591643024,89.4059734416552,45130.0,66926072.08275795,47.21436004861957,1417494.0,0.04721436004861957
sevennet-omat24,84.23886549966763,6.536671836915577,9.224462663416796,0.0842011965433193,6.15776645247064,2.982495014402836,0.6954639351275665,0.1924709045747142,0.736985091071312,85.57656460747461,90.6320665895573,45130.0,99521508.89658928,68.04768523540045,1462526.0,0.06804768523540045
sevennet-omat24-cueq,84.1879016175493,6.623088854420563,9.189009528030136,0.07976955461998671,6.124529138045646,2.984710835364503,0.6976986959766778,0.1923637460443917,0.7369851952559519,85.45428389111083,90.52684251483625,45130.0,64673542.3810482,45.24397133216378,1429440.0,0.045243971332163783
uma-oc20,87.00642588078883,4.608907600265899,8.384666518945268,0.1750498559716375,8.112120540660314,0.09749612231331709,0.2878384265030342,0.2112753254398764,0.2326742219195634,89.11869242973171,92.50700843348164,45130.0,68479223.60467911,58.44662639710965,1171654.0,0.058446626397109645
uma-oc22,58.78794593396853,7.595834256592067,33.61621980943939,0.1816973188566364,15.75891867937071,17.67560381121205,1.83299837321788,0.6346252625980318,1.72692408531893,72.61798432895945,82.92081932189546,45130.0,100159139.5890713,58.48616669347186,1712527.0,0.058486166693471855
uma-oc25,83.47219144693109,6.290715710170618,10.23709284289829,0.1506758253933082,9.951251938843342,0.1351650786616441,0.3311798054355915,0.2218299546770862,0.2294629378978969,85.16924267507461,89.99174566321071,45130.0,85530300.78363419,58.10431075244185,1472013.0,0.058104310752441844
uma-omat,81.11677376467982,6.674052736538888,12.2091734987813,0.163970751163306,9.55683580766674,2.488366939951252,1.286036918786046,0.2442208752732032,1.466665845517951,84.10561312913383,89.39238740328038,45130.0,100057123.6488819,58.52139089615981,1709753.0,0.058521390896159806
