MLIP_name,Normal rate (%),Adsorbate migration rate (%),Anomaly rate (%),Anomaly rate - reproduction failure (%),Anomaly rate - unphysical relaxation (%),Anomaly rate - energy anomaly (%),MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Time_total (ms),Time_per_step (ms),Steps_total,Time_per_step (s)
sevennet-matpes_r2scan,83.07692307692308,4.0,12.92307692307692,2.769230769230769,9.230769230769232,0.9230769230769231,0.4095960072525626,0.3162251773039743,0.3261715194295386,74.30643642072206,82.36024780588681,325.0,4420060.40763855,83.04793806509497,53223.0,0.08304793806509497
sevennet-matpes_r2scan-cueq,83.07692307692308,4.307692307692307,12.61538461538461,2.153846153846154,9.538461538461538,0.9230769230769231,0.3977970653588689,0.3157757194289698,0.3261705334770146,74.31951857666131,82.40808810876057,325.0,2049382.534503937,39.68595148148599,51640.0,0.039685951481485994
sevennet-mpa,85.84615384615385,4.0,10.15384615384615,3.692307692307693,6.461538461538462,0,0.3279980428749684,0.1831789517398612,0.1814657920318939,83.94662480376755,87.33157804164497,325.0,3744615.025758743,63.88601743199139,58614.0,0.06388601743199139
sevennet-mpa-cueq,86.15384615384616,4.0,9.846153846153847,4,5.846153846153846,0,0.3174406669107857,0.182678847609151,0.181464594803829,83.80523286237576,87.17311994493213,325.0,2386137.03083992,43.66535575961498,54646.0,0.043665355759614985
sevennet-oc20,67.6923076923077,4.0,28.30769230769231,13.23076923076923,14.15384615384615,0.9230769230769231,0.8216735292522115,0.2837912989149938,0.4700632872941579,68.71166928309782,74.42901393908086,325.0,7261591.2566185,63.73786530750291,113929.0,0.0637378653075029
sevennet-oc22,87.07692307692308,1.846153846153846,11.07692307692308,2.769230769230769,8.307692307692308,0,0.3169074270402751,0.2417867019705854,0.2345545753680774,84.5344845630562,88.39721218379003,325.0,2900965.052604675,58.80851127338229,49329.0,0.05880851127338229
sevennet-oc22-cueq,87.07692307692308,1.846153846153846,11.07692307692308,3.692307692307693,7.384615384615385,0,0.3208157545830936,0.2417074973587258,0.2345540471792253,84.55185766614349,88.38864223025374,325.0,2089972.624778748,40.43986425918128,51681.0,0.04043986425918128
sevennet-omat24,81.53846153846153,4.307692307692307,14.15384615384615,7.076923076923077,7.076923076923077,0,0.4044041563911159,0.1645117665511303,0.175677249533927,82.5846153846154,85.84443297194944,325.0,7109908.090591431,88.49112700808293,80346.0,0.08849112700808293
sevennet-omat24-cueq,81.53846153846153,4.307692307692307,14.15384615384615,7.384615384615385,6.769230769230769,0,0.4220465968965717,0.1645107696915618,0.175676719144288,82.8318158032446,86.07268972638155,325.0,3458930.046319962,41.14883648770461,84059.0,0.04114883648770461
uma-oc20,52.61538461538462,2.769230769230769,44.61538461538462,11.07692307692308,32.92307692307692,0.6153846153846154,0.9058899185780814,0.5137180849349322,0.6347030953668925,52.36473050758759,63.25895715023216,325.0,6114672.031641006,53.30873675179382,114703.0,0.053308736751793824
uma-oc22,84.61538461538461,1.846153846153846,13.53846153846154,1.538461538461539,7.384615384615385,4.615384615384616,1.125636403991207,0.9910426249425237,1.094246258561067,86.49900575614843,90.05647909137838,325.0,1631241.301298141,54.87406402590714,29727.0,0.05487406402590714
uma-oc25,67.6923076923077,4.0,28.30769230769231,10.46153846153846,16.30769230769231,1.538461538461539,0.7134949234186932,0.2514024702104203,0.4758462673213462,74.28498168498172,78.38795388057103,325.0,4639191.23840332,53.99179784930078,85924.0,0.053991797849300784
uma-omat,91.6923076923077,1.538461538461539,6.769230769230769,1.538461538461539,5.230769230769231,0,0.2480802546628987,0.1303960655552553,0.1395777564760295,88.61423338566168,91.13285148855607,325.0,2456788.090229034,80.29506455629749,30597.0,0.0802950645562975
